Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergy_score
LOMUSTINE,ALLOPURINOL,786O,DB01206,DB00437,-9.57,0
AZACYTIDINE,LAPATINIB,786O,DB00928,DB01259,-9.46,0
VEMURAFENIB,SORAFENIB,786O,DB08881,DB00398,-9.46,0
GEFITINIB,ZOLEDRONIC ACID,786O,DB00317,DB00399,-9.44,0
5-FU,IMATINIB,786O,DB00544,DB00619,-9.42,0
TAMOXIFEN CITRATE,NILOTINIB,786O,DB00675,DB04868,-9.4,0
CYTARABINE HYDROCHLORIDE,DASATINIB,786O,DB00987,DB01254,-9.4,0
LOMUSTINE,IXABEPILONE,786O,DB01206,DB04845,-9.32,0
DACARBAZINE,SORAFENIB,786O,DB00851,DB00398,-9.24,0
ZOLEDRONIC ACID,QUINACRINE HYDROCHLORIDE,786O,DB00399,DB01103,-9.17,0
AZACYTIDINE,ERLOTINIB HYDROCHLORIDE,786O,DB00928,DB00530,-9.11,0
VANDETANIB,SORAFENIB,786O,DB05294,DB00398,-9.11,0
MITOXANTRONE,PRALATREXATE,786O,DB01204,DB06813,-9.09,0
LOMUSTINE,CRIZOTINIB,786O,DB01206,DB08865,-9.07,0
DEXRAZOXANE,BLEOMYCIN,786O,DB00380,DB00290,-9.06,0
PEMETREXED,TAMOXIFEN CITRATE,786O,DB00642,DB00675,-9.03,0
DOCETAXEL,CARMUSTINE,786O,DB01248,DB00262,-9,0
5-FU,PACLITAXEL,786O,DB00544,DB01229,-9,0
LOMUSTINE,IMIQUIMOD,786O,DB01206,DB00724,-8.97,0
PEMETREXED,PRALATREXATE,786O,DB00642,DB06813,-8.97,0
PEMETREXED,CELECOXIB,786O,DB00642,DB00482,-8.89,0
5-FU,TOPOTECAN HYDROCHLORIDE,786O,DB00544,DB01030,-8.85,0
AZACYTIDINE,DASATINIB,786O,DB00928,DB01254,-8.81,0
MITOXANTRONE,TOPOTECAN HYDROCHLORIDE,786O,DB01204,DB01030,-8.81,0
DEXRAZOXANE,CYTARABINE HYDROCHLORIDE,786O,DB00380,DB00987,-8.75,0
DEXRAZOXANE,SORAFENIB,786O,DB00380,DB00398,-8.73,0
PEMETREXED,5-FU,786O,DB00642,DB00544,-8.72,0
GEFITINIB,ARSENIC TRIOXIDE,786O,DB00317,DB01169,-8.7,0
DACARBAZINE,CYTARABINE HYDROCHLORIDE,786O,DB00851,DB00987,-8.66,0
BLEOMYCIN,QUINACRINE HYDROCHLORIDE,786O,DB00290,DB01103,-8.65,0
PEMETREXED,TOPOTECAN HYDROCHLORIDE,786O,DB00642,DB01030,-8.53,0
NILOTINIB,BLEOMYCIN,786O,DB04868,DB00290,-8.52,0
CYTARABINE HYDROCHLORIDE,LAPATINIB,786O,DB00987,DB01259,-8.49,0
PAZOPANIB HYDROCHLORIDE,CYTARABINE HYDROCHLORIDE,786O,DB06589,DB00987,-8.46,0
PEMETREXED,ERLOTINIB HYDROCHLORIDE,786O,DB00642,DB00530,-8.42,0
DAUNORUBICIN HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,786O,DB00694,DB00530,-8.38,0
5-FU,CYTARABINE HYDROCHLORIDE,786O,DB00544,DB00987,-8.35,0
LETROZOLE,AZACYTIDINE,786O,DB01006,DB00928,-8.34,0
GEFITINIB,METHOTREXATE,786O,DB00317,DB00563,-8.33,0
MITOXANTRONE,MERCAPTOPURINE,786O,DB01204,DB01033,-8.22,0
CYTARABINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,786O,DB00987,DB01030,-8.21,0
ABIRATERONE,SORAFENIB,786O,DB05812,DB00398,-8.2,0
LETROZOLE,QUINACRINE HYDROCHLORIDE,786O,DB01006,DB01103,-8.19,0
DEXRAZOXANE,ARSENIC TRIOXIDE,786O,DB00380,DB01169,-8.12,0
PACLITAXEL,AZACYTIDINE,786O,DB01229,DB00928,-8.07,0
DAUNORUBICIN HYDROCHLORIDE,DOCETAXEL,786O,DB00694,DB01248,-8.04,0
LOMUSTINE,TRETINOIN,786O,DB01206,DB00755,-8.04,0
BLEOMYCIN,CARMUSTINE,786O,DB00290,DB00262,-7.99,0
GEFITINIB,PEMETREXED,786O,DB00317,DB00642,-7.97,0
AZACYTIDINE,BLEOMYCIN,786O,DB00928,DB00290,-7.95,0
DAUNORUBICIN HYDROCHLORIDE,ARSENIC TRIOXIDE,786O,DB00694,DB01169,-7.95,0
NILOTINIB,AZACYTIDINE,786O,DB04868,DB00928,-7.93,0
BLEOMYCIN,ANASTROZOLE,786O,DB00290,DB01217,-7.91,0
DAUNORUBICIN HYDROCHLORIDE,CELECOXIB,786O,DB00694,DB00482,-7.91,0
5-FU,DOCETAXEL,786O,DB00544,DB01248,-7.91,0
MEGESTROL ACETATE,CYTARABINE HYDROCHLORIDE,786O,DB00351,DB00987,-7.87,0
CRIZOTINIB,SORAFENIB,786O,DB08865,DB00398,-7.84,0
CYTARABINE HYDROCHLORIDE,BLEOMYCIN,786O,DB00987,DB00290,-7.83,0
CYTARABINE HYDROCHLORIDE,AMIFOSTINE,786O,DB00987,DB01143,-7.82,0
VISMODEGIB,SORAFENIB,786O,DB08828,DB00398,-7.73,0
METHOTREXATE,NILOTINIB,786O,DB00563,DB04868,-7.71,0
DAUNORUBICIN HYDROCHLORIDE,HYDROXYUREA,786O,DB00694,DB01005,-7.67,0
AZACYTIDINE,CARMUSTINE,786O,DB00928,DB00262,-7.65,0
QUINACRINE HYDROCHLORIDE,THALIDOMIDE,786O,DB01103,DB01041,-7.59,0
PEMETREXED,SORAFENIB,786O,DB00642,DB00398,-7.58,0
DEXRAZOXANE,DOCETAXEL,786O,DB00380,DB01248,-7.52,0
DAUNORUBICIN HYDROCHLORIDE,VEMURAFENIB,786O,DB00694,DB08881,-7.51,0
PEMETREXED,CARMUSTINE,786O,DB00642,DB00262,-7.5,0
GEFITINIB,CARMUSTINE,786O,DB00317,DB00262,-7.5,0
DAUNORUBICIN HYDROCHLORIDE,BORTEZOMIB,786O,DB00694,DB00188,-7.43,0
TAMOXIFEN CITRATE,CARMUSTINE,786O,DB00675,DB00262,-7.42,0
AZACYTIDINE,ALLOPURINOL,786O,DB00928,DB00437,-7.42,0
LOMUSTINE,CELECOXIB,786O,DB01206,DB00482,-7.39,0
5-FU,MERCAPTOPURINE,786O,DB00544,DB01033,-7.36,0
DAUNORUBICIN HYDROCHLORIDE,ALLOPURINOL,786O,DB00694,DB00437,-7.3,0
DAUNORUBICIN HYDROCHLORIDE,CRIZOTINIB,786O,DB00694,DB08865,-7.2,0
PEMETREXED,DAUNORUBICIN HYDROCHLORIDE,786O,DB00642,DB00694,-7.15,0
LENALIDOMIDE,GEFITINIB,786O,DB00480,DB00317,-7.12,0
DAUNORUBICIN HYDROCHLORIDE,MITOTANE,786O,DB00694,DB00648,-7.07,0
CABAZITAXEL,ARSENIC TRIOXIDE,786O,DB06772,DB01169,-7.06,0
AZACYTIDINE,ZOLEDRONIC ACID,786O,DB00928,DB00399,-7.03,0
DAUNORUBICIN HYDROCHLORIDE,IXABEPILONE,786O,DB00694,DB04845,-7,0
CELECOXIB,AZACYTIDINE,786O,DB00482,DB00928,-6.99,0
IMATINIB,AZACYTIDINE,786O,DB00619,DB00928,-6.99,0
PEMETREXED,DEXRAZOXANE,786O,DB00642,DB00380,-6.99,0
ANASTROZOLE,QUINACRINE HYDROCHLORIDE,786O,DB01217,DB01103,-6.96,0
PACLITAXEL,METHOXSALEN,786O,DB01229,DB00553,-6.96,0
ZOLEDRONIC ACID,PRALATREXATE,786O,DB00399,DB06813,-6.9,0
LOMUSTINE,PACLITAXEL,786O,DB01206,DB01229,-6.89,0
TAMOXIFEN CITRATE,LAPATINIB,786O,DB00675,DB01259,-6.88,0
BLEOMYCIN,ERLOTINIB HYDROCHLORIDE,786O,DB00290,DB00530,-6.87,0
BLEOMYCIN,ARSENIC TRIOXIDE,786O,DB00290,DB01169,-6.85,0
LENALIDOMIDE,SORAFENIB,786O,DB00480,DB00398,-6.84,0
DOCETAXEL,AZACYTIDINE,786O,DB01248,DB00928,-6.83,0
GEFITINIB,BLEOMYCIN,786O,DB00317,DB00290,-6.81,0
DOCETAXEL,TOPOTECAN HYDROCHLORIDE,786O,DB01248,DB01030,-6.78,0
VISMODEGIB,DEXRAZOXANE,786O,DB08828,DB00380,-6.76,0
PACLITAXEL,HYDROXYUREA,786O,DB01229,DB01005,-6.66,0
AZACYTIDINE,IMIQUIMOD,786O,DB00928,DB00724,-6.64,0
DASATINIB,ZOLEDRONIC ACID,786O,DB01254,DB00399,-6.63,0
LOMUSTINE,CYTARABINE HYDROCHLORIDE,786O,DB01206,DB00987,-6.63,0
AZACYTIDINE,TOPOTECAN HYDROCHLORIDE,786O,DB00928,DB01030,-6.61,0
DAUNORUBICIN HYDROCHLORIDE,AZACYTIDINE,786O,DB00694,DB00928,-6.61,0
DAUNORUBICIN HYDROCHLORIDE,IMIQUIMOD,786O,DB00694,DB00724,-6.6,0
SUNITINIB,QUINACRINE HYDROCHLORIDE,786O,DB01268,DB01103,-6.58,0
LENALIDOMIDE,TENIPOSIDE,786O,DB00480,DB00444,-6.56,0
DAUNORUBICIN HYDROCHLORIDE,TRETINOIN,786O,DB00694,DB00755,-6.54,0
GEFITINIB,ERLOTINIB HYDROCHLORIDE,786O,DB00317,DB00530,-6.53,0
CYTARABINE HYDROCHLORIDE,QUINACRINE HYDROCHLORIDE,786O,DB00987,DB01103,-6.52,0
DAUNORUBICIN HYDROCHLORIDE,THALIDOMIDE,786O,DB00694,DB01041,-6.52,0
5-FU,ZOLEDRONIC ACID,786O,DB00544,DB00399,-6.52,0
CYTARABINE HYDROCHLORIDE,METHOXSALEN,786O,DB00987,DB00553,-6.51,0
DAUNORUBICIN HYDROCHLORIDE,FULVESTRANT,786O,DB00694,DB00947,-6.51,0
DEXRAZOXANE,CELECOXIB,786O,DB00380,DB00482,-6.5,0
LENALIDOMIDE,DEXRAZOXANE,786O,DB00480,DB00380,-6.48,0
DAUNORUBICIN HYDROCHLORIDE,METHOXSALEN,786O,DB00694,DB00553,-6.42,0
DAUNORUBICIN HYDROCHLORIDE,FLUDARABINE BASE,786O,DB00694,DB01073,-6.38,0
5-FU,METHOTREXATE,786O,DB00544,DB00563,-6.37,0
PEMETREXED,FULVESTRANT,786O,DB00642,DB00947,-6.31,0
LOMUSTINE,ANASTROZOLE,786O,DB01206,DB01217,-6.3,0
CYTARABINE HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,786O,DB00987,DB00530,-6.29,0
SUNITINIB,ERLOTINIB HYDROCHLORIDE,786O,DB01268,DB00530,-6.28,0
DEXRAZOXANE,IMATINIB,786O,DB00380,DB00619,-6.27,0
GEFITINIB,VEMURAFENIB,786O,DB00317,DB08881,-6.26,0
VANDETANIB,METHOTREXATE,786O,DB05294,DB00563,-6.25,0
QUINACRINE HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,786O,DB01103,DB00530,-6.24,0
IMATINIB,QUINACRINE HYDROCHLORIDE,786O,DB00619,DB01103,-6.24,0
IMATINIB,BLEOMYCIN,786O,DB00619,DB00290,-6.21,0
AZACYTIDINE,HYDROXYUREA,786O,DB00928,DB01005,-6.17,0
RALOXIFENE,DEXRAZOXANE,786O,DB00481,DB00380,-6.16,0
QUINACRINE HYDROCHLORIDE,METHOXSALEN,786O,DB01103,DB00553,-6.16,0
TRETINOIN,BLEOMYCIN,786O,DB00755,DB00290,-6.15,0
CYTARABINE HYDROCHLORIDE,FULVESTRANT,786O,DB00987,DB00947,-6.13,0
MEGESTROL ACETATE,ZOLEDRONIC ACID,786O,DB00351,DB00399,-6.13,0
DASATINIB,SORAFENIB,786O,DB01254,DB00398,-6.12,0
BLEOMYCIN,ALLOPURINOL,786O,DB00290,DB00437,-6.11,0
CYTARABINE HYDROCHLORIDE,IXABEPILONE,786O,DB00987,DB04845,-6.11,0
PACLITAXEL,BLEOMYCIN,786O,DB01229,DB00290,-6.08,0
CABAZITAXEL,MERCAPTOPURINE,786O,DB06772,DB01033,-6.07,0
5-FU,ARSENIC TRIOXIDE,786O,DB00544,DB01169,-6.07,0
TAMOXIFEN CITRATE,QUINACRINE HYDROCHLORIDE,786O,DB00675,DB01103,-6.06,0
MITOXANTRONE,CARMUSTINE,786O,DB01204,DB00262,-6.06,0
TAMOXIFEN CITRATE,AZACYTIDINE,786O,DB00675,DB00928,-6,0
LOMUSTINE,LAPATINIB,786O,DB01206,DB01259,-5.99,0
GEFITINIB,DACARBAZINE,786O,DB00317,DB00851,-5.99,0
MERCAPTOPURINE,NILOTINIB,786O,DB01033,DB04868,-5.98,0
AZACYTIDINE,METHOXSALEN,786O,DB00928,DB00553,-5.97,0
DEXRAZOXANE,TAMOXIFEN CITRATE,786O,DB00380,DB00675,-5.97,0
LENALIDOMIDE,TOPOTECAN HYDROCHLORIDE,786O,DB00480,DB01030,-5.95,0
GEFITINIB,AZACYTIDINE,786O,DB00317,DB00928,-5.95,0
BLEOMYCIN,MERCAPTOPURINE,786O,DB00290,DB01033,-5.88,0
DOCETAXEL,IMIQUIMOD,786O,DB01248,DB00724,-5.86,0
CYTARABINE HYDROCHLORIDE,ANASTROZOLE,786O,DB00987,DB01217,-5.86,0
MERCAPTOPURINE,QUINACRINE HYDROCHLORIDE,786O,DB01033,DB01103,-5.85,0
GEFITINIB,LAPATINIB,786O,DB00317,DB01259,-5.85,0
DEXRAZOXANE,ANASTROZOLE,786O,DB00380,DB01217,-5.83,0
PRALATREXATE,ARSENIC TRIOXIDE,786O,DB06813,DB01169,-5.82,0
VANDETANIB,ARSENIC TRIOXIDE,786O,DB05294,DB01169,-5.82,0
CYTARABINE HYDROCHLORIDE,AZACYTIDINE,786O,DB00987,DB00928,-5.81,0
DAUNORUBICIN HYDROCHLORIDE,ANASTROZOLE,786O,DB00694,DB01217,-5.81,0
CYTARABINE HYDROCHLORIDE,MITOTANE,786O,DB00987,DB00648,-5.78,0
DAUNORUBICIN HYDROCHLORIDE,SUNITINIB,786O,DB00694,DB01268,-5.78,0
DASATINIB,CARMUSTINE,786O,DB01254,DB00262,-5.77,0
SUNITINIB,BLEOMYCIN,786O,DB01268,DB00290,-5.77,0
LOMUSTINE,VEMURAFENIB,786O,DB01206,DB08881,-5.77,0
DEXRAZOXANE,HYDROXYUREA,786O,DB00380,DB01005,-5.76,0
PEMETREXED,METHOTREXATE,786O,DB00642,DB00563,-5.71,0
CYTARABINE HYDROCHLORIDE,IMIQUIMOD,786O,DB00987,DB00724,-5.69,0
DEXRAZOXANE,BORTEZOMIB,786O,DB00380,DB00188,-5.69,0
DASATINIB,BLEOMYCIN,786O,DB01254,DB00290,-5.67,0
METHOTREXATE,CYTARABINE HYDROCHLORIDE,786O,DB00563,DB00987,-5.66,0
LETROZOLE,CYTARABINE HYDROCHLORIDE,786O,DB01006,DB00987,-5.63,0
LOMUSTINE,LETROZOLE,786O,DB01206,DB01006,-5.63,0
PEMETREXED,HYDROXYUREA,786O,DB00642,DB01005,-5.63,0
LENALIDOMIDE,BLEOMYCIN,786O,DB00480,DB00290,-5.61,0
MITOTANE,QUINACRINE HYDROCHLORIDE,786O,DB00648,DB01103,-5.6,0
DEXRAZOXANE,VEMURAFENIB,786O,DB00380,DB08881,-5.59,0
VISMODEGIB,ZOLEDRONIC ACID,786O,DB08828,DB00399,-5.58,0
TAMOXIFEN CITRATE,BLEOMYCIN,786O,DB00675,DB00290,-5.54,0
GEFITINIB,TOPOTECAN HYDROCHLORIDE,786O,DB00317,DB01030,-5.53,0
LENALIDOMIDE,ARSENIC TRIOXIDE,786O,DB00480,DB01169,-5.52,0
PACLITAXEL,QUINACRINE HYDROCHLORIDE,786O,DB01229,DB01103,-5.51,0
AZACYTIDINE,SORAFENIB,786O,DB00928,DB00398,-5.49,0
LOMUSTINE,AZACYTIDINE,786O,DB01206,DB00928,-5.49,0
VISMODEGIB,DASATINIB,786O,DB08828,DB01254,-5.47,0
PAZOPANIB HYDROCHLORIDE,DEXRAZOXANE,786O,DB06589,DB00380,-5.47,0
SORAFENIB,PRALATREXATE,786O,DB00398,DB06813,-5.45,0
PEMETREXED,MEGESTROL ACETATE,786O,DB00642,DB00351,-5.44,0
TENIPOSIDE,SORAFENIB,786O,DB00444,DB00398,-5.44,0
QUINACRINE HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE,786O,DB01103,DB01030,-5.3,0
DEXRAZOXANE,ERLOTINIB HYDROCHLORIDE,786O,DB00380,DB00530,-5.3,0
DAUNORUBICIN HYDROCHLORIDE,DASATINIB,786O,DB00694,DB01254,-5.29,0
DEXRAZOXANE,LETROZOLE,786O,DB00380,DB01006,-5.27,0
PEMETREXED,LETROZOLE,786O,DB00642,DB01006,-5.26,0
DEXRAZOXANE,CRIZOTINIB,786O,DB00380,DB08865,-5.25,0
CRIZOTINIB,DEXRAZOXANE,786O,DB08865,DB00380,-5.25,0
VISMODEGIB,ABIRATERONE,786O,DB08828,DB05812,-5.25,0
GEFITINIB,TRETINOIN,786O,DB00317,DB00755,-5.21,0
GEFITINIB,THALIDOMIDE,786O,DB00317,DB01041,-5.2,0
CYTARABINE HYDROCHLORIDE,ZOLEDRONIC ACID,786O,DB00987,DB00399,-5.19,0
LENALIDOMIDE,PEMETREXED,786O,DB00480,DB00642,-5.19,0
TOPOTECAN HYDROCHLORIDE,ARSENIC TRIOXIDE,786O,DB01030,DB01169,-5.18,0
CYTARABINE HYDROCHLORIDE,BORTEZOMIB,786O,DB00987,DB00188,-5.17,0
DEXRAZOXANE,LAPATINIB,786O,DB00380,DB01259,-5.17,0
DEXRAZOXANE,CARMUSTINE,786O,DB00380,DB00262,-5.13,0
GEFITINIB,MITOTANE,786O,DB00317,DB00648,-5.12,0
DAUNORUBICIN HYDROCHLORIDE,CARMUSTINE,786O,DB00694,DB00262,-5.12,0
RUXOLITINIB,ARSENIC TRIOXIDE,786O,DB08877,DB01169,-5.12,0
LAPATINIB,AMIFOSTINE,786O,DB01259,DB01143,-5.1,0
CABAZITAXEL,PRALATREXATE,786O,DB06772,DB06813,-5.1,0
VISMODEGIB,ERLOTINIB HYDROCHLORIDE,786O,DB08828,DB00530,-5.09,0
HYDROXYUREA,CARMUSTINE,786O,DB01005,DB00262,-5.08,0
GEFITINIB,FLUDARABINE BASE,786O,DB00317,DB01073,-5.08,0
QUINACRINE HYDROCHLORIDE,BORTEZOMIB,786O,DB01103,DB00188,-5.07,0
GEFITINIB,MEGESTROL ACETATE,786O,DB00317,DB00351,-5.07,0
PEMETREXED,ALLOPURINOL,786O,DB00642,DB00437,-5.06,0
DASATINIB,AMIFOSTINE,786O,DB01254,DB01143,-5.05,0
CYTARABINE HYDROCHLORIDE,MERCAPTOPURINE,786O,DB00987,DB01033,-5.04,0
VISMODEGIB,CELECOXIB,786O,DB08828,DB00482,-5.04,0
LOMUSTINE,SUNITINIB,786O,DB01206,DB01268,-5.04,0
AZACYTIDINE,BORTEZOMIB,786O,DB00928,DB00188,-5.02,0
DEXRAZOXANE,IXABEPILONE,786O,DB00380,DB04845,-5.02,0
MITOXANTRONE,LOMUSTINE,786O,DB01204,DB01206,-4.97,0
AZACYTIDINE,AMIFOSTINE,786O,DB00928,DB01143,-4.95,0
GEFITINIB,DEXRAZOXANE,786O,DB00317,DB00380,-4.95,0
RALOXIFENE,SORAFENIB,786O,DB00481,DB00398,-4.94,0
LOMUSTINE,AMIFOSTINE,786O,DB01206,DB01143,-4.92,0
GEFITINIB,HYDROXYUREA,786O,DB00317,DB01005,-4.9,0
ABIRATERONE,ZOLEDRONIC ACID,786O,DB05812,DB00399,-4.9,0
ANASTROZOLE,AZACYTIDINE,786O,DB01217,DB00928,-4.86,0
FULVESTRANT,QUINACRINE HYDROCHLORIDE,786O,DB00947,DB01103,-4.83,0
GEFITINIB,METHOXSALEN,786O,DB00317,DB00553,-4.83,0
VANDETANIB,DASATINIB,786O,DB05294,DB01254,-4.82,0
VISMODEGIB,IMATINIB,786O,DB08828,DB00619,-4.78,0
IXABEPILONE,ARSENIC TRIOXIDE,786O,DB04845,DB01169,-4.77,0
GEFITINIB,LETROZOLE,786O,DB00317,DB01006,-4.76,0
FLUDARABINE BASE,BLEOMYCIN,786O,DB01073,DB00290,-4.75,0
DAUNORUBICIN HYDROCHLORIDE,DACARBAZINE,786O,DB00694,DB00851,-4.75,0
CYTARABINE HYDROCHLORIDE,ARSENIC TRIOXIDE,786O,DB00987,DB01169,-4.74,0
DEXRAZOXANE,MITOTANE,786O,DB00380,DB00648,-4.74,0
FLUDARABINE BASE,NILOTINIB,786O,DB01073,DB04868,-4.7,0
RALOXIFENE,CYTARABINE HYDROCHLORIDE,786O,DB00481,DB00987,-4.69,0
DASATINIB,HYDROXYUREA,786O,DB01254,DB01005,-4.67,0
MERCAPTOPURINE,CARMUSTINE,786O,DB01033,DB00262,-4.66,0
